name,lat,lon
KM 50.3,-33.6962314397056,-71.03754952106
KM 50.4,-33.6958631757298,-71.03855241026
KM 50.5,-33.6955017221598,-71.03953611649
KM 50.6,-33.6951357024728,-71.04051707562
KM 50.7,-33.6947696901,-71.04151720025
KM 50.8,-33.6944059355832,-71.04250087925
KM 50.9,-33.6940421715285,-71.04348455119
KM 51,-33.6936806866427,-71.0444764273
KM 51.1,-33.6933282854534,-71.04544089707
KM 51.2,-33.6929599508593,-71.04643550402
KM 51.3,-33.6926052570126,-71.04739996048
KM 51.4,-33.6922391950856,-71.04840550101
KM 51.5,-33.6918844921663,-71.04937815501
KM 51.6,-33.6915216666666,-71.05038166666
KM 51.7,-33.6911454715101,-71.05136181259
KM 51.8,-33.690781,-71.05236
KM 51.9,-33.690406,-71.053354
KM 52,-33.690044,-71.054366
KM 52.1,-33.6896787324903,-71.05533997662
KM 52.2,-33.6893535498748,-71.05624681619
KM 52.3,-33.6889942483871,-71.05724679634
KM 52.4,-33.6886349443682,-71.0582549857
KM 52.5,-33.688287,-71.059259
KM 52.6,-33.6879573051415,-71.06023843471
KM 52.7,-33.6876162040933,-71.06124384205
KM 52.8,-33.6872864721402,-71.0622245819
KM 52.9,-33.6869521774177,-71.06321079807
KM 53,-33.6866178867534,-71.06421343583
KM 53.1,-33.6862813025968,-71.06520511325
KM 53.2,-33.6859492695782,-71.06619951744
KM 53.3,-33.6856012988914,-71.06722679228
KM 53.4,-33.6852874403566,-71.06816091926
KM 53.5,-33.6849440128976,-71.0691909115
KM 53.6,-33.684602841789,-71.07019898522
KM 53.7,-33.6842662174776,-71.07120431213
KM 53.8,-33.6839341396144,-71.07220414676
KM 53.9,-33.6835906699555,-71.07322041431
KM 54,-33.6832608448295,-71.07420380121
KM 54.1,-33.6829241878878,-71.07520909386
KM 54.2,-33.6825852442737,-71.07621438085
KM 54.3,-33.6822462962216,-71.0772251371
KM 54.4,-33.6819187231133,-71.07821670725
KM 54.5,-33.6815524494361,-71.07929045076
KM 54.6,-33.6812453321744,-71.08021626629
KM 54.7,-33.6809108945435,-71.08119960237
KM 54.8,-33.6805764650527,-71.08221305315
KM 54.9,-33.6802333333333,-71.08321833333
KM 55,-33.6798816666666,-71.084265
KM 55.1,-33.6795571705217,-71.08524515715
KM 55.2,-33.6792110914918,-71.08628576339
KM 55.3,-33.6788805033914,-71.0872545084
KM 55.4,-33.67854178766,-71.08826564196
KM 55.5,-33.6782193268045,-71.08923762465
KM 55.6,-33.677888719202,-71.09021613111
KM 55.7,-33.6775608187999,-71.09119462593
KM 55.8,-33.6772573100281,-71.09212092274
KM 55.9,-33.6769185485646,-71.09311897478
KM 56,-33.67651,-71.09432166666
KM 56.1,-33.6761909442095,-71.09528213122
KM 56.2,-33.6758586785046,-71.09628069107
KM 56.3,-33.6755228517138,-71.09729207236
KM 56.4,-33.6751887892499,-71.09828634258
KM 56.5,-33.6748689531862,-71.09928701048
KM 56.6,-33.6745508886984,-71.10028766956
KM 56.7,-33.6742452762746,-71.10130755551
KM 56.8,-33.6739414307908,-71.10231674337
KM 56.9,-33.6736535911108,-71.10333232924
KM 57,-33.6733639764797,-71.10438425135
KM 57.1,-33.6730885753066,-71.10540623045
KM 57.2,-33.6728149589364,-71.1064709561
KM 57.3,-33.6725680003129,-71.10747580853
KM 57.4,-33.6723299371675,-71.10850844167
KM 57.5,-33.6720829741236,-71.10955389768
KM 57.6,-33.6718555727515,-71.11060147671
KM 57.7,-33.6716317253794,-71.11166615261
KM 57.8,-33.6714256483971,-71.11269233578
KM 57.9,-33.6712213490808,-71.11374202747
